,title,date,abstract,word_count,abstract_clean
0,Adaptation to Coastal Storms in Atlantic Canada: Implications and Lessons Learned,2018-01-01,"In order to improve the resilience of social-ecological systems of small rural coastal communities in Atlantic Canada, we used different methodologies to not only increase awareness and understanding of what is climate change, but also to enhance public engagement and find solutions that are more appropriate to these communities. This entailed, for example, integrating scientific and existing knowledge. Communities need to be a part of planning and governance in order to identify the most important impacts and response measures. Local governance, from local service districts to municipal and support from the provincial government, are also considered essential in order to improve resilience in the study region. It is necessary to have both short-term (emergency) plans in effect as well as longer term planning for improved adaptation to increasing major storms. Adaptation measures have to consider any physicosocial aspects of hazards, with social responses integrated into physical and environmental hazard-proofing initiatives. Other suggestions are included here based on lessons learned from the research.",162,order improve resilience social ecological system small rural coastal community atlantic canada used different methodology increase awareness understanding enhance find solution appropriate community entailed example integrating scientific existing knowledge community need part planning governance order identify important impact response measure local governance local service district municipal support provincial government considered essential order improve resilience region necessary short term emergency plan effect well longer term planning improved increasing major storm measure consider physicosocial aspect hazard social response integrated physical environmental hazard proofing initiative suggestion included based lesson learned research
1,Adaptation to Coastal Storms in Atlantic Canada: Methodology,2018-01-01,"In this chapter, we describe the methodological approach that was selected in order to better understand how communities affected by interventions on climate change adaptation change over time and whether these interventions were effective or not. The project was based on two main elements: a longitudinal study and participatory action research (PAR). The main goal of the longitudinal component of the project was to examine changes over time, while PAR aimed to co-produce knowledge and co-construct solutions with the communities. This was important in order to consider existing knowledge with scientific knowledge for more socially acceptable solutions. To do so, different tools were employed in the communities, depending on their interests and the issues that the communities wanted to work on in priority.",123,chapter describe methodological approach selected order better understand community affected intervention time whether intervention effective project based main element longitudinal participatory action research par main goal longitudinal component project examine change time par aimed co produce knowledge co construct solution community important order consider existing knowledge scientific knowledge socially acceptable solution different tool employed community depending interest issue community wanted work priority
2,"A regional, multi-sectoral and integrated assessment of the impacts of climate and socio-economic change in the UK",2005-01-01,"The 'Regional Climate Change Impact and Response Studies in East Anglia and North West England' (RegIS) integrated assessment (IA) investigated climate and socio-economic impacts and adaptation options, and cross-sectoral interactions between four major sectors driving landscape change (agriculture, biodiversity, coastal zones and water resources). The baseline and two contrasting climate change scenarios (with and without regional socio-economic change scenarios) were investigated. RegIS showed that climate change, without policy adaptation, could lead to severe flood impacts in East Anglia, and significant agricultural abandonment. Despite yield changes, cropping is generally insensitive to climate, but very sensitive to socio-economic change. There is increased seasonality to river flows, compounded by increased urbanisation and irrigation demand. The responses of biodiversity to climate change are regional, habitat and species-specific, but much of the future of biodiversity in these regions will depend on planned adaptation in the other sectors. Numerous examples of public engagement with the global change sphere represent the real outward value of RegIS, due to the significant uncertainties and limitations to knowledge in this first regional IA which prevented results of the detail, specificity and confidence that decision-makers required. However, with further investment and refinement, regional IA's will increasingly provide such output.",198,regional impact response study east anglia north west england regis integrated assessment ia investigated socio economic impact option cross sectoral interaction four major sector driving landscape agriculture biodiversity coastal zone water resource baseline contrasting scenario without regional socio economic scenario investigated regis showed without policy could lead severe flood impact east anglia significant agricultural abandonment despite yield change cropping generally insensitive sensitive socio economic increased seasonality river flow compounded increased urbanisation irrigation demand response biodiversity regional habitat specie specific much future biodiversity region depend planned sector numerous example global sphere represent real outward value regis due significant uncertainty limitation knowledge first regional ia prevented result detail specificity confidence decision maker required however investment refinement regional ia increasingly provide output
3,Bridging the gap: empowering decision-making for adaptation through the,2006-01-01,"The methods, tools and outputs of the UK Climate Impacts Programme (UKCIP) show how building adaptive capacity to climate change can be embedded within a wide range of organizations. UKCIP has been operating since 1997 to support decision-makers' assessments of their vulnerability to climate change so that they can plan how to adapt. Whilst stakeholder engagement is now generally regarded as vital to ensure that research meets the needs of decision-makers for information, this usually means that stakeholders are positioned in a 'consultative' role in research. In contrast, the UKCIP aims to bridge the gap between research and policy so that decision-makers take control to produce research in ways that are useful to them. The Programme has been flexible and was developed incrementally, with increased scientific understanding, taking advantage of collaborative funding and facilitating long-standing partnerships. Whilst the core framework of scenarios and tools has been developed centrally, most studies have been stakeholder-funded and led. The Programme's results suggest that if decision-makers are supported, capacity is built for assessments, and crucially, research outputs are directly applicable to their ongoing work and strategic planning. This capacity-building has worked across scales and sectors and is an effective route to mainstreaming climate change adaptation. The implication, therefore, is that more support should be given by funding agencies to develop institutional capacity to support adaptation to climate change in both the private and public sectors.",231,method tool output uk impact programme ukcip building adaptive capacity embedded within wide range organization ukcip operating since support decision maker assessment vulnerability plan adapt whilst stakeholder generally regarded vital ensure research meet need decision maker information usually mean stakeholder positioned consultative role research contrast ukcip aim bridge gap research policy decision maker take control produce research way useful programme flexible developed incrementally increased scientific understanding taking advantage collaborative funding facilitating long standing partnership whilst core framework scenario tool developed centrally study stakeholder funded led programme result suggest decision maker supported capacity built assessment crucially research output directly applicable ongoing work strategic planning capacity building worked across scale sector effective route mainstreaming implication therefore support given funding agency develop institutional capacity support private sector
4,The Value of Linking Mitigation and Adaptation: A Case Study of Bangladesh,2009-01-01,"There are two principal strategies for managing climate change risks: mitigation and adaptation. Until recently, mitigation and adaptation have been considered separately in both climate change science and policy. Mitigation has been treated as an issue for developed countries, which hold the greatest responsibility for climate change, while adaptation is seen as a priority for the South, where mitigative capacity is low and vulnerability is high. This conceptual divide has hindered progress against the achievement of the fundamental sustainable development challenges of climate change. Recent attention to exploring the synergies between mitigation and adaptation suggests that an integrated approach could go some way to bridging the gap between the development and adaptation priorities of the South and the need to achieve global engagement in mitigation. These issues are explored through a case study analysis of climate change policy and practice in Bangladesh. Using the example of waste-to-compost projects, a mitigation-adaptation-development nexus is demonstrated, as projects contribute to mitigation through reducing methane emissions; adaptation through soil improvement in drought-prone areas; and sustainable development, because poverty is exacerbated when climate change reduces the flows of ecosystem services. Further, linking adaptation to mitigation makes mitigation action more relevant to policymakers in Bangladesh, increasing engagement in the international climate change agenda in preparation for a post-Kyoto global strategy. This case study strengthens the argument that while combining mitigation and adaptation is not a magic bullet for climate policy, synergies, particularly at the project level, can contribute to the sustainable development goals of climate change and are worth exploring.",254,principal strategy managing risk mitigation recently mitigation considered separately science policy mitigation treated issue developed country hold greatest responsibility seen priority south mitigative capacity low vulnerability high conceptual divide hindered progress achievement fundamental sustainable development challenge recent attention exploring synergy mitigation suggests integrated approach could go way bridging gap development priority south need achieve global mitigation issue explored analysis policy practice bangladesh example waste compost project mitigation development nexus demonstrated project contribute mitigation reducing methane emission soil improvement drought prone area sustainable development poverty exacerbated reduces flow ecosystem service linking mitigation make mitigation action relevant policymakers bangladesh increasing international agenda preparation post kyoto global strategy strengthens argument combining mitigation magic bullet policy synergy particularly project level contribute sustainable development goal worth exploring
5,"Australian Universities, Government Research and the Application of Climate Change Knowledge in Australian Coastal Zone Management",2010-01-01,"One of the key issues in Australia for sustainable management of the coastal zone is that the science of climate change has not been widely used by decision-makers to inform coastal governance. There exist opportunities to enhance the dialogue between knowledge-makers and decision-makers, and universities have a key role to play in researching and fostering better linkages. At the heart of these linkages lies the principle of more informed engagement between historically disparate groups. In Australia, the new 'Flagship' research programme, funded by the Commonwealth Scientific and Industrial Research Organization (CSIRO), emphasizes their partnering with universities in a more systematic and collaborative manner than previously achieved in such research projects. In order to address sustainability in general and coastal adaptation to climate change in particular, interdisciplinary learning needs to occur between the social and natural sciences; also, transdisciplinary understanding of that interaction needs to be fully developed. New methods of communicative engagement such as computer visualizations and animations, together with deliberative techniques, can help policy-makers and planners reach a better understanding of the significance of the science of climate change impacts on the coast. Deeper engagement across historically disparate groups can lead to the development of epistemological and methodological synergies between social and natural scientists, adaptive learning, reflexive governance, and greater analytical and deliberative understanding among scientists, policymakers and the wider public. This understanding can lead in turn to enhance coastal governance for climate adaptation on the coast.",238,key issue australia sustainable management coastal zone science widely used decision maker inform coastal governance exist opportunity enhance dialogue knowledge maker decision maker university key role play researching fostering better linkage heart linkage lie principle informed historically disparate group australia flagship research programme funded commonwealth scientific industrial research organization csiro emphasizes partnering university systematic collaborative manner achieved research project order address sustainability general coastal particular interdisciplinary learning need occur social natural science transdisciplinary understanding interaction need fully developed method communicative computer visualization animation together deliberative technique help policy maker planner reach better understanding significance science impact coast deeper across historically disparate group lead development epistemological methodological synergy social natural scientist adaptive learning reflexive governance greater analytical deliberative understanding among scientist policymakers wider understanding lead turn enhance coastal governance coast
6,Community engagement and climate change: learning from recent Australian experience,2010-01-01,"Purpose - This purpose of this paper is to summarise the outcomes of a recent project in Victoria, Australia exploring the effectiveness of community engagement strategies in improving climate mitigation and adaptation outcomes. Design/methodology/approach - Roundtables and interviews with a diverse range of community engagement practitioners and policy makers involved in climate change work were conducted, informed by a discussion paper outlining recent Australian and international learning about community engagement and climate change. Findings - The project confirms and builds on recent international learning about the importance of carefully planned and implemented community engagement as essential components in effective climate mitigation and adaptation strategies. Originality/value - The paper brings together learning from recent on-the-ground experience from Australian community engagement practitioners and policy makers working in the climate change. field. In addition to evidence supporting the international case for community engagement methodologies the paper also summarises a number of factors important to effective climate change community engagement strategies.",157,purpose purpose summarise outcome recent project victoria australia exploring effectiveness community strategy improving mitigation outcome design methodology approach roundtable interview diverse range community practitioner policy maker involved work conducted informed discussion outlining recent australian international learning community finding project confirms build recent international learning importance carefully planned implemented community essential component effective mitigation strategy originality value brings together learning recent ground experience australian community practitioner policy maker working field addition evidence supporting international community methodology summarises number factor important effective community strategy
7,The New Climate Change Discourse: A Challenge for Environmental Sociology,2010-01-01,"The chapter gives an analysis of the shifting social discourse on climate change in Germany and the U.S. Climate Change Discourses (CCD) are defined as thematically focused coupled sequences of arguments that different social actors use in order to influence one another or their social contexts in order to improve the chances of their resource endowments, interests, and worldviews to prevail in collective decision making processes. The major change in the recent CCD is seen as a shift from a framework of understanding the Earth System to a framework of decision making under uncertainties. The traditional (and in part ideological) opposition of mitigation and adaptation policies will have give way to an optimal mix of both. The chapter gives empirical evidence for that analysis from mass media coverage, public opinion, policy making, and the business sector. This shift occurs currently more markedly in Germany than in the U.S., will probably catch up across the Atlantic soon. The final section sketches the outlines of a low-carbon society and discusses some major challenges to environmental sociology such as more systemic views, active engagement in IPCC's working group III, risk analysis of climate solutions, critical assessments of socio-technical experiments.",196,chapter give analysis shifting social discourse germany u discourse ccd defined thematically focused coupled sequence argument different social actor use order influence another social context order improve chance resource endowment interest worldviews prevail collective decision making process major recent ccd seen shift framework understanding earth system framework decision making uncertainty traditional part ideological opposition mitigation policy give way optimal mix chapter give empirical evidence analysis mass medium coverage opinion policy making business sector shift occurs currently markedly germany u probably catch across atlantic soon final section sketch outline low carbon society discus major challenge environmental sociology systemic view active ipcc working group iii risk analysis solution critical assessment socio technical experiment
8,Geoengineering the Climate: The Social and Ethical Implications,2010-01-01,,1,
9,Can sustainable tourism survive climate change?,2010-01-01,"This opinion piece contends that tourism's expanding engagement with climate change, as it is currently unfolding, is not necessarily conducive to the interests of tourism sustainability. Inherent unpredictability, long-term timeframes, lack of directly tangible consequences or clearly identifiable villains, issues with credibility and vested interests and cost implications in an era of chronic economic uncertainty all combine to increase the likelihood of unsuccessful climate change policies and strategies. Additional complications arise within the tourism sector from the rudimentary state of knowledge about the relationships between the tourism and climate change, an apathetic and fickle travelling public and a reciprocally uncommitted tourism industry. I argue that adaptation is a rational business response to climate change that is not directly related to environmental and sociocultural sustainability, and that mitigation measures should be supported to the extent that they yield practical and tangible short- and medium-term benefits and address local sustainability issues such as air quality and biodiversity protection.",156,opinion piece contends tourism expanding currently unfolding necessarily conducive interest tourism sustainability inherent unpredictability long term timeframes lack directly tangible consequence clearly identifiable villain issue credibility vested interest cost implication era chronic economic uncertainty combine increase likelihood unsuccessful policy strategy additional complication arise within tourism sector rudimentary state knowledge relationship tourism apathetic fickle travelling reciprocally uncommitted tourism industry argue rational business response directly related environmental sociocultural sustainability mitigation measure supported extent yield practical tangible short medium term benefit address local sustainability issue air quality biodiversity protection
