,title,creator,date,abstract,doi,publication,date_added,word_count
0,Stakeholder involvement in climate assessment: bridging the gap between scientific research and the public,O'Connor et al.,2000-01-01,"Stakeholder participation is a crucial component of the Mid-Atlantic Regional Assessment (MARA) of Possible Consequences of Climate Variability and Change. We involved stakeholders for 6 reasons: to ensure that the assessment addresses stakeholder concerns, to enhance the technical quality of the assessment, to provide a forum for stakeholders with diverse constituencies to share ideas, to facilitate dissemination of assessment findings, to sensitize stakeholders to possible impacts as well as adaptation strategies, and to legitimize the process to third parties. The key means for involvement is an Advisory Committee that represents a myriad of experiences and perspectives, including members from mining companies, non-governmental voluntary organizations, and government as well as researchers. In the first phase members attended workshops and, approximately bimonthly, received (via e-mail, fax, or regular mail) updates on the MARA team's progress, with a request for feedback on items such as work plans for specific topics (e.g.. forestry, coastal zones), outlines of working group reports, draft scenarios that would serve as the basis for assessing impacts, or early materials for the draft preliminary report. Stakeholder involvement affected the focus of the assessment and the quality of the report. Stakeholders modified the MARA focus to include concerns that might have been ignored and improved the technical analysis of possible impacts.",10.3354/cr014255,Climate Research,2019-06-05 12:17:51+00:00,
1,Children with disabilities: A longitudinal study of child development and parent well-being - Introduction,Hauser-Cram et al.,2001-01-01,"The development of children with disabilities and the adaptation of their families present an array of challenges to researchers, policymakers, practitioners, and parents. For some, the diverse developmental pathways followed by children with disabilities provide important opportunities to expand our knowledge about human variation. For others, the diagnosis of an impairment calls for the formulation of an intervention strategy to promote more positive outcomes. Central to both is the need for greater understanding of how children with disabilities and their families change over time, and why some do better than others. The Early Intervention Collaborative Study (EICS) was initiated in 1985 to address these complex and compelling issues. The EICS is an ongoing, nonexperimental, longitudinal investigation designed originally to address three interrelated goals: (a) to analyze individual differences in the development of children with disabilities and in the adaptation of their families over time, (b) to generate related conceptual models of child and family development that integrate research on children with and without special needs, and (c) to contribute to the knowledge base that informs social policy and the delivery of intervention services. From its onset, the design of the study has been guided by models of human development that are ecological, contextual, and transactional (Bronfenbrenner, 1979; Lerner, 1996; Sameroff & Chandler, 1975) and by an interest in the concepts of vulnerability and resilience (Rutter, 2000; Werner, 2000). The first phase of the investigation, which was described in a previous SRCD Monograph (Shonkoff, Hauser-Cram, Krauss, & Upshur, 1992), focused on the development of 190 infants and their parents during their initial year of participation in a community-based early intervention program. The findings presented in this second Monograph were generated from the continuing sample of 183 participants who were assessed at five points in time, from their entry into an early intervention program during the infant or toddler years through the child's 10th birthday. This investigation represents the largest and longest running study of children with a range of developmental disabilities and their parents ever undertaken in the United States. The richness and the longitudinal nature of these data provide a wealth of opportunities to analyze the interactive nature of child and family adaptation and, most important, to study developmental change over time. The findings presented in this Monograph can be used to inform both theory and practice. In the process of bridging these two domains, the study builds on two complementary historical contexts and addresses two converging agendas for the future.",10.1111/1540-5834.00151,Monographs of the Society for Research in Child Development,2019-06-05 12:17:51+00:00,
2,Fair adaptation to climate change,Paavola and Adger,2006-01-01,"This article identifies social justice dilemmas associated with the necessity to adapt to climate change, examines how they are currently addressed by the climate change regime, and proposes solutions to overcome prevailing gaps and ambiguities. We argue that the key justice dilemmas of adaptation include responsibility for climate change impacts, the level and burden sharing of assistance to vulnerable countries for adaptation, distribution of assistance between recipient countries and adaptation measures, and fair participation in planning and making decisions on adaptation. We demonstrate how the climate change regime largely omits responsibility but makes a general commitment to assistance. However, the regime has so far failed to operationalise assistance and has made only minor progress towards eliminating obstacles for fair participation. We propose the adoption of four principles for fair adaptation in the climate change regime. These include avoiding dangerous climate change, forward-looking responsibility, putting the most vulnerable first and equal participation of all. We argue that a safe maximum standard of 400-500 ppm Of CO2 concentrations in the atmosphere and a carbon tax of $20-50 per carbon equivalent ton could provide the initial instruments for operationalising the principles. (c) 2005 Elsevier B.V. All rights reserved.",10.1016/j.ecolecon.2005.03.015,Ecological Economics,2019-06-05 12:17:51+00:00,
3,Institutional adaptation of water resource infrastructures to climate change in Eastern Ontario,Crabbe and Robin,2006-01-01,"Institutional barriers and bridges to local climate change impacts adaptation affecting small rural municipalities and Conservation Authorities (CAs are watershed agencies) in Eastern Ontario (Canada) are examined, and elements of a community-based adaptation strategy related to water infrastructures are proposed as a case-study in community adaptation to climate change. No general water scarcity is expected for the region even under unusually dry weather scenarios. Localized quantity and quality problems are likely to occur especially in groundwater recharge areas. Some existing institutions can be relied on by municipalities to build an effective adaptation strategy based on a watershed/region perspective, on their credibility, and on their expertise. Windows of opportunity or framing issues are offered at the provincial level, the most relevant one in a federal state, by municipal emergency plan requirements and pending watershed source water protection legislation. Voluntary and soon to be mandated climate change mitigation programs at the federal level are other ones.",10.1007/s10584-006-9087-5,Climatic Change,2019-06-05 12:17:51+00:00,
4,Community capacity for adaptation to climate-induced water shortages: Linking institutional complexity and local actors,Ivey et al.,2004-01-01,"There is growing concern for the capacity of urban and rural communities to manage current water shortages and to prepare for shortages that may accompany predicted changes in climate. In this paper, concepts relating to the notion of climate adaptation and particularly ""capacity building"" are used to elucidate several determinants of community-level capacity for water management. These concepts and criteria are then used to interpret empirically derived insights relating to local management of water shortages in Ontario, Canada. General determinants of water-related community capacity relate to upper tier political and institutional arrangements; the characteristics of, and relationships among, pertinent agencies, groups, or individuals involved in water management; and the adequacy of financial, human, information, and technical resources. The case analysis illustrates how general factors play out in local experience. The findings point to geographically specific factors that influence the effectiveness of management. Key factors include collaboration between water managers, clarification of agency roles and responsibilities, integration of water management and land-use planning, and recognition and participation of both urban and rural stakeholders, whose sensitivities to water shortages are spatially and temporally variable.",10.1007/s00267-003-0014-5,Environmental Management,2019-06-05 12:17:51+00:00,
5,"Responding to the coffee crisis: a pilot study of farmers' adaptations in Mexico, Guatemala and Honduras",Eakin et al.,2006-01-01,"This article explores the impacts of market shocks and institutional change on smallholder livelihoods, and the challenge of adaptation in Mexico, Guatemala and Honduras. The rapid decline in coffee prices since the dissolution of the International Coffee Agreement in 1989 has had widespread and profound impacts across coffee-producing regions. The data collected in the three case studies of this project confirm the severity of the impact, particularly in the Mexican and Guatemalan communities. They also illustrate the importance of the historical relationship between farmers and public institutions in defining farmers' perception of risk, their awareness of the nature of the changes they face, and thus the flexibility of their responses to present and future uncertainty. The project's findings indicate that the existence and development of local networks among farmers, service providers and information sources may be critical for facilitating adaptation, particularly in the context of economic liberalization and globalized agriculture.",10.1111/j.1475-4959.2006.00195.x,Geographical Journal,2019-06-05 12:17:51+00:00,
6,Investigating the potential role of visualization techniques in participatory coastal management,Jude,2008-01-01,"The current shift toward soft forms of coastal defense as means of adapting to future sea level rise requires careful communication and consultation if they are to gain widespread public acceptance. For this to be achieved then coastal managers must improve the manner in which they communicate with stakeholders and members of the public. One possible solution may be through the application of landscape visualization techniques to illustrate how new policies or management interventions may shape the coast. This article investigates the potential role of such methods in participatory coastal management. Using interviews with coastal managers, the potential application of visualization techniques in coastal management processes are explored in detail. The findings suggest that while a number of possible roles for visualization techniques exist, there is an urgent need for practical testing and evaluation of the technology in participatory decision-making processes.",10.1080/08920750802266346,Coastal Management,2019-06-05 12:17:51+00:00,
7,"Livelihoods, vulnerability and adaptation to climate change in Morogoro, Tanzania",Paavola,2008-01-01,"This article examines farmers' livelihood responses and vulnerability to climate variability and other stressors in Morogoro, Tanzania, to understand their implications for adaptation to climate change by agricultural households in developing world more generally. In Morogoro, agricultural households have extended cultivation, intensified agriculture, diversified livelihoods and migrated to gain access to land, markets and employment as a response to climatic and other stressors. Some of these responses have depleted and degraded natural resources such as forest, soil and water resources, which will complicate their living with climate change in the future. This will be particularly problematic to vulnerable groups such as women, children and pastoralists who have limited access to employment, markets and public services. In this light, fair adaptation to climate change by agricultural households in Morogoro and elsewhere in developing countries requires several complementary responses. Adaptation efforts should involve effective governance of natural resources because they function as safety nets to vulnerable groups. In addition, strengthening of national markets by infrastructure investments and institutional reforms is needed to give incentives to intensification and diversification in agriculture. Market participation also demands enhancement of human capital by public programs on health, education and wellbeing. (C) 2008 Elsevier Ltd. All rights reserved.",10.1016/j.envsci.2008.06.002,Environmental Science & Policy,2019-06-05 12:17:51+00:00,
8,Community-Based Adaptation to the Health Impacts of Climate Change,Ebi and Semenza,2008-01-01,"The effects of and responses to the health impacts of climate change will affect individuals, communities, and societies. Effectively preparing for and responding to current and projected climate change requires ongoing assessment and action, not a one-time assessment of risks and interventions. To promote resilience to climate change and other community stressors, a stepwise course of action is proposed for community-based adaptation that engages stakeholders in a proactive problem solving process to enhance social capital across local and national levels. In addition to grassroots actions undertaken at the community level, reducing vulnerability to current and projected climate change will require top-down interventions implemented by public health organizations and agencies.",10.1016/j.amepre.2008.08.018,American Journal of Preventive Medicine,2019-06-05 12:17:51+00:00,
9,Public health vulnerability to climate change in Brazil,Confalonieri et al.,2009-01-01,"A national quantitative assessment of the current vulnerability of the Brazilian population to the health impacts of climate change was undertaken with the support of the Brazilian Ministry of Science and Technology. A conceptual framework of vulnerability in the health sector, according to a modified general 'exposure-response' model, was adopted (Confalonieri 2003). For the quantification of vulnerability, a new methodology was used to develop a synthetic (composite) general vulnerability index from averages of specific indices of vulnerability in 3 areas: socio-economic, epidemiological and climatological. We found that the greatest influence on the general vulnerability index (of the most vulnerable states) was from the socio-economic vulnerability index. The approach used also demonstrated that the northeast is the most vulnerable Brazilian region to the health impacts of a changing climate.",10.3354/cr00808,Climate Research,2019-06-05 12:17:51+00:00,
